date,value,majorEvent
7/1/2018,322,
7/2/2018,254,
7/3/2018,596,
7/4/2018,599,
7/5/2018,339,
7/6/2018,301,
7/7/2018,199,
7/8/2018,1636,
7/9/2018,904,
7/10/2018,644,
7/11/2018,575,
7/12/2018,669,
7/13/2018,608,
7/14/2018,452,
7/15/2018,247,
7/16/2018,373,
7/17/2018,703,
7/18/2018,983,
7/19/2018,943,
7/20/2018,1105,
7/21/2018,560,
7/22/2018,627,
7/23/2018,715,
7/24/2018,993,
7/25/2018,831,
7/26/2018,799,
7/27/2018,720,
7/28/2018,538,
7/29/2018,418,
7/30/2018,567,
7/31/2018,1078,
8/1/2018,1033,
8/2/2018,1157,
8/3/2018,967,
8/4/2018,1509,
8/5/2018,803,
8/6/2018,1055,
8/7/2018,875,
8/8/2018,906,
8/9/2018,789,
8/10/2018,1059,
8/11/2018,372,
8/12/2018,303,
8/13/2018,699,
8/14/2018,1214,
8/15/2018,1595,
8/16/2018,1425,
8/17/2018,1434,
8/18/2018,926,
8/19/2018,368,
8/20/2018,1075,
8/21/2018,1336,
8/22/2018,1243,
8/23/2018,1359,
8/24/2018,886,
8/25/2018,679,
8/26/2018,383,
8/27/2018,763,
8/28/2018,1396,
8/29/2018,1401,
8/30/2018,1143,
8/31/2018,1596,
9/1/2018,1284,
9/2/2018,797,
9/3/2018,1089,
9/4/2018,1302,
9/5/2018,1458,
9/6/2018,2366,assasination attempt on Bolsonaro
9/7/2018,2207,
9/8/2018,1297,
9/9/2018,1091,
9/10/2018,1606,
9/11/2018,2005,Haddad officially named as Lula replacement
9/12/2018,1604,
9/13/2018,1507,
9/14/2018,1240,
9/15/2018,957,
9/16/2018,1040,
9/17/2018,1403,
9/18/2018,1402,
9/19/2018,1684,
9/20/2018,1541,
9/21/2018,1614,
9/22/2018,999,
9/23/2018,959,
9/24/2018,1355,
9/25/2018,1433,
9/26/2018,1510,
9/27/2018,1575,
9/28/2018,1574,
9/29/2018,1680,
9/30/2018,1161,
10/1/2018,1701,
10/2/2018,1943,
10/3/2018,1960,
10/4/2018,1695,
10/5/2018,1927,
10/6/2018,2053,
10/7/2018,2958,First round of the election
10/8/2018,3161,
10/9/2018,2122,
10/10/2018,2284,
10/11/2018,1742,
10/12/2018,1259,
10/13/2018,1027,
10/14/2018,783,
10/15/2018,1410,
10/16/2018,1874,
10/17/2018,1720,
10/18/2018,1653,
10/19/2018,1866,
10/20/2018,1249,
10/21/2018,988,
10/22/2018,1669,
10/23/2018,1746,
10/24/2018,1598,
10/25/2018,1665,
10/26/2018,1684,
10/27/2018,1797,
10/28/2018,3276,Second round of the election
10/29/2018,3652,
10/30/2018,1787,
10/31/2018,1424,
11/1/2018,84,
