day,bolsonaro,haddad,lula,gomes,amoêdo,alckmin,daciolo,meirelles,marina
2018-07-01,69,20,255,96,12,47,0,0,136
2018-07-02,91,84,220,56,0,143,0,174,40
2018-07-03,230,48,733,73,10,316,0,166,32
2018-07-04,656,37,455,404,4,418,0,185,242
2018-07-05,125,11,297,186,0,247,0,48,175
2018-07-06,180,3,154,194,4,316,0,44,66
2018-07-07,150,0,83,25,0,72,0,0,31
2018-07-08,103,197,3452,124,0,34,0,50,90
2018-07-09,46,44,2548,32,0,10,0,29,7
2018-07-10,46,36,1180,88,2,42,0,58,32
2018-07-11,224,2,623,113,0,186,0,22,91
2018-07-12,226,2,1119,203,0,255,0,19,66
2018-07-13,697,3,673,430,2,218,0,151,89
2018-07-14,368,2,394,225,18,130,3,22,249
2018-07-15,55,42,529,69,0,49,0,0,28
2018-07-16,169,17,591,78,14,29,0,24,23
2018-07-17,314,24,512,303,9,95,0,222,101
2018-07-18,574,19,583,722,4,287,0,228,56
2018-07-19,789,54,1140,789,0,513,0,74,69
2018-07-20,541,81,760,1340,0,833,0,61,101
2018-07-21,359,21,205,305,25,702,0,87,81
2018-07-22,1203,6,176,75,2,240,0,67,68
2018-07-23,452,184,467,251,24,354,0,115,109
2018-07-24,499,27,703,313,9,943,0,183,185
2018-07-25,187,53,1002,681,19,592,0,130,195
2018-07-26,211,8,456,462,4,783,0,69,58
2018-07-27,386,29,635,287,10,383,0,111,190
2018-07-28,178,154,605,161,0,555,0,250,98
2018-07-29,166,163,427,269,16,289,0,13,97
2018-07-30,539,167,674,165,4,219,0,11,184
2018-07-31,873,44,680,150,70,366,0,469,219
2018-08-01,567,36,1060,301,4,285,0,121,397
2018-08-02,225,20,1201,600,2,435,4,739,221
2018-08-03,369,148,930,491,4,465,0,91,404
2018-08-04,784,156,1489,484,67,992,66,289,571
2018-08-05,757,66,677,425,150,262,86,149,234
2018-08-06,455,525,1615,507,75,476,81,179,345
2018-08-07,519,517,1341,188,57,223,47,80,144
2018-08-08,462,363,1030,264,46,441,7,126,144
2018-08-09,318,567,1193,266,45,278,37,77,152
2018-08-10,548,527,1190,387,8,543,301,183,250
2018-08-11,55,90,235,266,0,169,11,8,31
2018-08-12,169,124,384,52,41,81,4,10,199
2018-08-13,399,155,642,94,65,155,70,15,113
2018-08-14,780,599,1470,327,78,361,336,88,160
2018-08-15,420,687,2735,311,83,451,79,163,245
2018-08-16,365,468,2535,183,78,163,40,119,230
2018-08-17,615,287,2036,265,59,396,96,119,294
2018-08-18,1002,82,947,210,9,469,69,364,513
2018-08-19,119,48,136,191,6,118,19,72,95
2018-08-20,619,513,1668,405,40,687,49,161,496
2018-08-21,1133,1018,2313,770,77,811,215,174,616
2018-08-22,1246,966,1944,659,131,628,123,243,661
2018-08-23,1356,547,1648,480,98,588,105,309,517
2018-08-24,759,245,1202,232,94,478,21,153,337
2018-08-25,604,119,597,248,12,362,7,19,259
2018-08-26,461,78,291,275,37,349,0,56,211
2018-08-27,556,132,550,181,71,395,21,99,538
2018-08-28,1294,826,1118,723,330,309,6,192,453
2018-08-29,1695,463,1207,352,165,323,24,202,359
2018-08-30,706,289,1375,314,111,1080,26,60,159
2018-08-31,808,755,2767,291,68,683,30,165,763
2018-09-01,396,853,3913,338,57,208,52,89,285
2018-09-02,473,364,1027,443,392,258,12,44,251
2018-09-03,799,634,1690,168,92,255,51,40,187
2018-09-04,1036,831,1858,479,93,573,7,178,495
2018-09-05,743,659,1867,230,109,581,58,174,90
2018-09-06,3012,796,1463,653,136,964,73,160,462
2018-09-07,4431,236,649,159,41,277,6,38,136
2018-09-08,2653,262,606,183,45,300,6,45,311
2018-09-09,1724,132,677,179,10,190,10,97,154
2018-09-10,2710,513,1678,565,123,451,21,320,458
2018-09-11,2410,2347,2664,984,169,1090,122,301,1164
2018-09-12,1591,1805,1861,1223,82,636,51,170,678
2018-09-13,2311,1195,972,832,35,770,4,86,359
2018-09-14,1918,697,907,457,57,263,22,35,297
2018-09-15,1079,1204,832,839,51,437,28,66,281
2018-09-16,1219,517,429,688,18,323,27,19,220
2018-09-17,1739,1268,1042,647,65,667,75,80,271
2018-09-18,2053,1354,1359,768,40,801,38,79,197
2018-09-19,2490,1547,803,841,250,975,68,119,404
2018-09-20,2943,1579,852,918,121,697,64,184,533
2018-09-21,2265,1277,566,739,37,776,22,334,534
2018-09-22,1148,680,448,695,43,336,14,61,216
2018-09-23,1271,503,822,520,12,460,3,12,476
2018-09-24,1881,810,576,775,136,891,61,149,508
2018-09-25,2320,1239,515,673,45,745,105,59,407
2018-09-26,1781,1097,677,929,90,517,72,124,410
2018-09-27,2085,862,1003,604,29,596,97,103,266
2018-09-28,2811,807,718,378,55,292,28,168,68
2018-09-29,3722,597,537,285,37,503,32,42,327
2018-09-30,2745,787,326,457,71,265,49,82,255
2018-10-01,2484,1594,1691,716,62,565,182,218,460
2018-10-02,3052,1827,994,707,79,763,61,220,386
2018-10-03,3548,1525,986,679,66,707,55,130,498
2018-10-04,2715,1419,1088,398,63,406,88,100,237
2018-10-05,3339,2042,787,1176,79,729,97,386,608
2018-10-06,2925,1645,762,1104,144,655,63,123,285
2018-10-07,3359,2004,905,1214,265,881,170,318,523
2018-10-08,5034,3252,1187,1153,248,678,123,234,595
2018-10-09,3225,2738,944,516,94,540,44,46,132
