day , bolsonaro,haddad,lula,gomes,amoêdo,alckmin,daciolo,meirelles,marina
2018-07-01 , 0,2,36,6,0,5,0,0,19
2018-07-02 , 8,7,19,6,0,16,0,12,4
2018-07-03 , 35,5,111,3,0,52,0,15,5
2018-07-04 , 71,0,49,37,0,47,0,25,25
2018-07-05 , 10,0,36,17,0,22,0,3,25
2018-07-06 , 8,0,27,23,0,33,0,2,5
2018-07-07 , 24,0,11,1,0,5,0,0,5
2018-07-08 , 23,12,589,11,0,0,0,5,15
2018-07-09 , 6,0,322,4,0,2,0,3,1
2018-07-10 , 11,0,173,10,0,3,0,8,5
2018-07-11 , 30,0,93,12,0,23,0,3,11
2018-07-12 , 23,0,159,29,0,15,0,0,10
2018-07-13 , 57,0,71,34,0,19,0,9,10
2018-07-14 , 37,0,53,21,0,10,0,2,29
2018-07-15 , 7,0,48,11,0,8,0,0,2
2018-07-16 , 16,0,59,12,0,2,0,4,4
2018-07-17 , 33,2,82,37,1,3,0,42,15
2018-07-18 , 80,0,82,99,1,35,0,41,4
2018-07-19 , 89,2,166,59,0,68,0,10,0
2018-07-20 , 81,5,85,142,0,135,0,2,2
2018-07-21 , 60,0,9,26,0,82,0,13,1
2018-07-22 , 153,0,15,2,0,43,0,6,2
2018-07-23 , 84,6,58,39,0,59,0,8,22
2018-07-24 , 57,1,102,35,0,154,0,32,19
2018-07-25 , 30,7,95,91,8,66,0,23,21
2018-07-26 , 30,2,60,38,2,131,0,14,9
2018-07-27 , 26,1,87,43,2,42,0,13,35
2018-07-28 , 18,24,58,21,0,101,0,14,20
2018-07-29 , 6,20,50,18,2,30,0,0,6
2018-07-30 , 50,27,53,16,0,39,0,0,18
2018-07-31 , 135,2,92,14,0,50,0,55,19
2018-08-01 , 52,1,116,39,0,32,0,17,59
2018-08-02 , 23,0,116,69,0,62,0,101,37
2018-08-03 , 30,23,107,54,0,73,0,18,38
2018-08-04 , 103,10,135,47,10,145,7,40,69
2018-08-05 , 94,0,48,44,18,22,4,11,18
2018-08-06 , 42,63,146,58,0,51,0,15,28
2018-08-07 , 65,57,111,9,0,17,0,8,6
2018-08-08 , 78,36,115,38,8,77,0,12,27
2018-08-09 , 49,62,127,26,12,40,3,7,16
2018-08-10 , 60,56,110,45,0,75,26,16,25
2018-08-11 , 5,21,27,39,0,15,2,1,5
2018-08-12 , 24,8,38,4,11,4,0,1,17
2018-08-13 , 55,31,79,9,13,17,2,0,17
2018-08-14 , 116,76,188,39,10,41,30,16,19
2018-08-15 , 66,77,340,26,5,63,15,25,26
2018-08-16 , 51,35,343,29,6,14,2,8,29
2018-08-17 , 72,35,287,19,8,34,4,12,17
2018-08-18 , 124,9,98,16,0,71,2,41,68
2018-08-19 , 8,4,11,25,0,18,0,9,11
2018-08-20 , 45,60,208,32,0,58,0,11,45
2018-08-21 , 149,86,188,75,7,82,17,7,45
2018-08-22 , 151,68,177,72,2,43,2,11,67
2018-08-23 , 179,42,161,36,12,67,15,31,67
2018-08-24 , 87,11,112,21,10,48,0,14,42
2018-08-25 , 48,21,68,45,0,43,0,1,34
2018-08-26 , 35,2,24,41,0,26,0,0,26
2018-08-27 , 88,15,45,14,5,38,0,0,55
2018-08-28 , 141,91,107,83,36,33,0,9,53
2018-08-29 , 204,52,112,59,17,30,0,44,34
2018-08-30 , 102,31,138,44,11,110,0,8,10
2018-08-31 , 87,66,349,16,5,73,2,16,87
2018-09-01 , 28,82,368,38,1,22,0,2,31
2018-09-02 , 64,24,99,50,32,52,0,10,21
2018-09-03 , 126,67,166,43,6,37,7,2,27
2018-09-04 , 143,72,195,67,9,81,0,26,64
2018-09-05 , 124,67,214,46,10,93,15,29,17
2018-09-06 , 531,60,153,84,6,137,6,2,80
2018-09-07 , 738,19,50,8,2,21,0,1,10
2018-09-08 , 407,28,58,2,1,20,0,3,27
2018-09-09 , 299,9,80,37,0,27,0,15,25
2018-09-10 , 425,47,166,59,4,50,0,19,38
2018-09-11 , 337,243,227,80,0,90,0,12,107
2018-09-12 , 214,178,143,129,0,57,1,13,41
2018-09-13 , 322,141,78,85,2,80,0,8,24
2018-09-14 , 261,84,119,44,2,29,0,2,36
2018-09-15 , 159,133,50,65,0,47,2,5,30
2018-09-16 , 205,60,39,79,0,44,2,1,27
2018-09-17 , 235,151,99,59,0,83,1,0,15
2018-09-18 , 208,125,124,87,3,83,4,6,18
2018-09-19 , 342,192,50,87,23,140,0,7,30
2018-09-20 , 361,151,68,83,9,59,1,6,11
2018-09-21 , 291,119,38,46,0,83,2,35,56
2018-09-22 , 139,64,18,84,0,29,0,0,17
2018-09-23 , 194,54,58,73,1,76,0,0,65
2018-09-24 , 230,85,35,58,7,93,0,1,22
2018-09-25 , 277,118,23,74,2,59,15,2,24
2018-09-26 , 225,154,62,149,4,42,2,8,30
2018-09-27 , 289,75,118,68,4,69,5,0,27
2018-09-28 , 327,53,96,34,8,19,6,20,0
2018-09-29 , 514,62,71,7,2,48,0,0,19
2018-09-30 , 303,63,36,53,1,9,15,0,17
2018-10-01 , 283,190,162,36,3,50,10,1,19
2018-10-02 , 325,219,98,57,4,68,4,20,23
2018-10-03 , 462,182,92,75,0,62,0,12,59
2018-10-04 , 320,104,116,38,0,38,15,2,18
2018-10-05 , 419,237,38,104,0,45,3,8,33
2018-10-06 , 310,153,50,95,13,63,2,2,16
2018-10-07 , 429,240,54,113,33,75,13,29,48
2018-10-08 , 595,324,80,69,21,65,7,29,50
2018-10-09 , 408,343,91,39,15,52,9,1,4
2018-10-10 , 560,297,47,28,0,9,19,0,9
2018-10-11 , 445,266,23,46,1,6,4,2,16
2018-10-12 , 289,210,49,21,0,0,0,0,2
2018-10-13 , 250,182,22,3,1,1,0,13,0
2018-10-14 , 205,171,25,4,0,1,0,0,3
2018-10-15 , 263,241,34,21,0,0,0,0,6
2018-10-16 , 430,331,19,158,0,2,0,0,0
2018-10-17 , 392,263,21,49,0,0,13,0,3
2018-10-18 , 459,203,26,28,0,1,3,1,2
2018-10-19 , 489,211,19,18,0,2,7,0,2
2018-10-20 , 268,122,11,11,1,5,0,0,0
2018-10-21 , 275,93,33,9,0,1,0,0,2
2018-10-22 , 457,179,30,6,0,9,0,0,39
2018-10-23 , 432,295,21,6,0,0,0,0,11
2018-10-24 , 375,256,46,4,0,0,0,0,10
2018-10-25 , 461,261,23,14,0,9,0,0,3
2018-10-26 , 371,225,22,48,0,11,0,0,4
2018-10-27 , 299,247,31,63,0,8,0,0,0
2018-10-28 , 595,364,13,71,4,23,0,10,11
2018-10-29 , 1113,187,35,56,3,27,0,0,16
2018-10-30 , 568,64,56,7,0,18,0,0,4
2018-10-31 , 405,14,11,21,0,3,0,0,1
2018-11-01 , 16,4,0,7,0,0,0,0,0
