"url","headline","text","crawl_timestamp","article_timestamp","domain","domain category","#bolsonaro in headline","#bolsonaro in text","#jair in headline","#jair in text","#haddad in headline","#haddad in text","#gomes in headline","#gomes in text","#alckmin in headline","#alckmin in text","#amoêdo in headline","#amoêdo in text","#daciolo in headline","#daciolo in text","#meirelles in headline","#meirelles in text","#lula in headline","#lula in text","#temer in headline","#temer in text","#rousseff in headline","#rousseff in text","#marina in headline","#marina in text","# PT  in headline","# PT  in text","# PSL  in headline","# PSL  in text","# PDT  in headline","# PDT  in text","# PSDB  in headline","# PSDB  in text","# MDB  in headline","# MDB  in text","# cabo  in headline","# cabo  in text","# PATRI  in headline","# PATRI  in text","most common word no.1","most common word no.2","most common word no.3","most common word no.4","most common word no.5","most common bigram no.1","most common bigram no.2","most common bigram no.3","most common bigram no.4","most common bigram no.5"
"http://www.portaldoholanda.com.br/bolsonaro/apoiadores-nao-podem-impulsonar-conteudos-de-candidatos-na-internet-diz-tse","http://www.portaldoholanda.com.br/bolsonaro/apoiadores-nao-podem-impulsonar-conteudos-de-candidatos-na-internet-diz-tse","2018-09-13T19:03:09Z","2018-09-13 00:00:00","Apoiadores não podem impulsonar conteúdos de candidatos na internet, diz TSE","Pela primeira vez, o Tribunal Superior Eleitoral (TSE) aplicou hoje (13) a regra segundo a qual apoiadores não podem pagar por propaganda para candidatos na internet, em especial na forma de impulsionamento de conteúdo. A norma, que consta da resolução sobre propaganda eleitoral, foi aplicada em um caso em que um empresário pagou para impulsionar no Facebook um conteúdo favorável a Jair Bolsonaro, candidato do PSL à Presidência da República. “A lei estabelece que pessoa física não pode fazer por motivo simples, seria impossível analisar na prestação de contas, geraria problemas”, afirmou o relator, ministro Luís Felipe Salomão. Ele determinou multa de R$ 10 mil por dia em caso de reincidência. Todos os demais ministros do TSE o acompanharam. Salomão decidiu não sancionar o Facebook, pois a empresa retirou do ar o conteúdo assim que foi solicitada. O ministro também entendeu não haver provas de que Bolsonaro tinha conhecimento do ato, motivo pelo qual eximiu o candidato de responsabilidade.","portaldoholanda.com.br","UNKNOWN","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","conteúdo","eleitoral","tse","propaganda","caso","pela primeira","primeira vez","vez o","o tribunal","tribunal superior"
"https://www.valor.com.br/politica/5837899/haddad-deve-nomear-chico-macena-como-tesoureiro-de-sua-campanha","https://www.valor.com.br/politica/5837899/haddad-deve-nomear-chico-macena-como-tesoureiro-de-sua-campanha","2018-09-13T20:32:07Z","2018-09-13 15:42:23-03:00","Haddad deve nomear Chico Macena como tesoureiro de sua campanha","Haddad deve nomear Chico Macena como tesoureiro de sua campanha BRASÍLIA - Depois de indicar Emídio de Souza para integrar a coordenação de sua campanha, o candidato do PT a presidente da República, Fernando Haddad, fará uma segunda mudança no time: vai nomear seu ex-secretário de Governo da Prefeitura de São Paulo Chico Macena para a função de coordenador de finanças. Macena substituirá o ex-ministro Ricardo Berzoini, que pediu para se afastar do cargo a fim de cuidar das contas da campanha do ex-presidente Luiz Inácio Lula da Silva.","valor.com.br","MSM","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","macena","campanha","ex","haddad","nomear","chico macena","de sua","sua campanha","haddad deve","deve nomear"
"https://br.noticias.yahoo.com/fl%C3%A1vio-bolsonaro-diz-que-o-164800079.html","https://br.noticias.yahoo.com/fl%C3%A1vio-bolsonaro-diz-que-o-164800079.html","2018-09-13T19:03:44Z","","Flávio Bolsonaro diz que o quadro de saúde do pai é “muito grave”","O deputado estadual Flávio Bolsonaro (PSL-RJ) disse hoje (13) que o quadro de saúde de seu pai, o candidato à Presidência da República pelo PSL Jair Bolsonaro, ainda é “muito grave”, embora estável. Segundo ele, a maior preocupação é com o risco de infecções, já que a cirurgia realizada na noite de ontem foi “bastante invasiva”. O filho mais velho de Jair Bolsonaro, o deputado estadual, Flávio Bolsonaro, concede entrevista aos jornalistas. O filho mais velho de Jair Bolsonaro, o deputado estadual, Flávio Bolsonaro - Tânia Rêgo/Agência Brasil Flávio Bolsonaro concedeu entrevista à rádio 97,1 FM do Rio de Janeiro e falou por quase duas horas. “Está difícil para a gente da família fazer campanha porque a cada momento há um fato novo”, disse. “Por causa de um atentado contra o meu pai, a gente tem de se readaptar.” O deputado estadual, que concorre nestas eleições a uma vaga no Senado, relatou que Bolsonaro passou a quarta-feira (12) com queixas de mal-estar, náuseas e soluços, por isso os médicos o submeteram a novos exames e depois decidiram pela realização da cirurgia, na noite de ontem. Evangélico, Flávio Bolsonaro pediu que continuem as orações por seu pai. “Praticamente tiveram de abri-lo de novo. Óbvio que ele não está naquela mesma situação de chegar quase morto ao hospital”. Ele também aproveitou a entrevista para elogiar a equipe de profissionais responsável pelo tratamento do candidado à Presidência. Boletim Na manhã de hoje o Hospital Albert Einstein divulgou boletim médico informando que Bolsonaro voltou a ser admitido na Unidade de Terapia Intensiva (UTI), onde evolui bem após passar por nova cirurgia. O candidato tinha recebido alta da UTI na última terça-feira (11), mas precisou passar por cirurgia de urgência na noite de ontem. Durante a quarta-feira, o candidato apresentou distensão abdominal progressiva sugerindo o diagnóstico de obstrução intestinal – diagnóstico confirmado por tomografia computadorizada. Ele foi levado para cirurgia de urgência onde foram desfeitas as aderências do intestino e liberado o ponto de obstrução. Os médicos cuidaram também de um extravasamento de secreção intestinal em uma das suturas realizadas anteriormente para correção de ferimentos intestinais. De acordo com o boletim, esse tipo de complicação é mais frequente em incidentes como o de Bolsonaro do que em cirurgias programadas. Foi realizada limpeza abdominal, em um procedimento que durou duas horas. Histórico No último dia 6, em Juiz de Fora (MG), Bolsonaro levou uma facada na região abdominal durante atividade de campanha nas ruas da cidade. Ele foi atendido pela Santa Casa de Juiz de Fora onde passou por cirurgia. Na sexta-feira (7), o candidato foi transferido para o Hospital Albert Einstein, a pedido da família.","yahoo.com","MSM","1","12","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bolsonaro","cirurgia","flávio","deputado","estadual","flávio bolsonaro","o deputado","deputado estadual","o candidato","estadual flávio"
"https://exame.abril.com.br/brasil/voto-util-desbanca-amoedo-entre-a-comunidade-financeira/amp/","https://exame.abril.com.br/brasil/voto-util-desbanca-amoedo-entre-a-comunidade-financeira/amp/","2018-09-13T19:04:33Z","2018-09-13 18:18:48+00:00","Voto útil desbanca Amoêdo entre a comunidade financeira","O candidato mais rico da corrida presidencial tem apoio de sobra entre a comunidade financeira. O que falta é voto. João Amoêdo, do Partido Novo, é o político dos sonhos de muitos investidores. Após fazer carreira no Itaú Unibanco e no Citigroup, ele defende privatizar a Petrobras e bancos estatais e apoia mudanças na legislação trabalhista e previdenciária para sanar as contas públicas. Aos 55 anos, ele tem a retaguarda de Gustavo Franco, ex-presidente do Banco Central idolatrado por muitos por seus esforços para resgatar a economia após a crise cambial da década de 1990. Mas como as pesquisas de opinião não indicam que ele terá qualquer chance de chegar ao segundo turno, seus fãs consideram votar em outros candidatos. O raciocínio de muitos profissionais do mercado financeiro é que o pior desfecho possível seria a volta do Partido dos Trabalhadores. Por isso, estão dispostos a votar em candidatos com os quais discordam, mas têm maior chance de vitória no segundo turno. “Amoêdo está fazendo muito bem a campanha e com certeza passará de coadjuvante para um dos principais candidatos na próxima eleição”, disse Paulo Petrassi, sócio da Leme Investimentos, em Florianópolis. “Só não voto nele justamente por tirar voto do Alckmin, aumentando a chance de a esquerda ganhar.” Segundo a última pesquisa do Ibope, Amoêdo está tecnicamente empatado com três outros em sexto lugar, com 3 por cento das intenções de voto para o primeiro turno, em 7 de outubro. Alckmin, ex-governador de São Paulo que também defende medidas para sanar as contas públicas, está tecnicamente empatado em terceiro lugar, com 9 por cento. Jair Bolsonaro lidera a corrida presidencial e tem o apoio de alguns profissionais do mercado que temem a volta da esquerda ao poder. Amoêdo mantém seguidores na comunidade financeira, como Ricardo Lacerda, sócio e presidente da BR Partners. O Partido Novo foi fundado em 2011 e não usa dinheiro público, sendo sustentado somente por doações. Amoêdo se define como liberal clássico politicamente. Ele afirma que restaurar as contas públicas deve ser prioridade no próximo governo e um passo fundamental para a recuperação do grau de investimento. Ele é bastante conservador em temas sociais e se posiciona a favor da criminalização do aborto e da flexibilização nas regras de porte de armas. “Vamos combater a pobreza gerando riqueza, não distribuindo”, declarou Amoêdo durante um evento em São Paulo, no mês passado. “E o capitalismo é a melhor forma de fazer isso.” O capitalismo certamente funcionou para Amoêdo, que tem patrimônio declarado de R$ 425 milhões, incluindo apartamentos, joias e um iate. A comunidade financeira gosta de Amoêdo “por causa do background dele, pelo fato de ele ter sido banqueiro, de ter conhecimento sobre o mercado”, disse Fernando Mazzanti, operador de câmbio da INTL FCStone, em Nova York. “Infelizmente, o que eu tenho ouvido é que, embora ele pareça ser um bom candidato, votar nele é desperdiçar o voto porque as chances dele são muito baixas.”","abril.com.br","MSM","0","1","0","1","0","0","0","0","0","2","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","amoêdo","voto","comunidade","financeira","partido","comunidade financeira","as contas","contas públicas","chance de","corrida presidencial"
"https://br.blastingnews.com/politica/2018/09/boletim-medico-diz-que-bolsonaro-continua-em-estado-grave-e-tera-que-fazer-nova-cirurgia-002711223.html","https://br.blastingnews.com/politica/2018/09/boletim-medico-diz-que-bolsonaro-continua-em-estado-grave-e-tera-que-fazer-nova-cirurgia-002711223.html","2018-09-13T19:05:08Z","2018-09-10 11:50:31-03:00","Boletim médico diz que Bolsonaro continua em estado grave e terá que fazer nova cirurgia","Na manhã desta segunda-feira (10), o Hospital Albert Einstein divulgou um boletim médico sobre o atual estado de saúde do candidato à presidência Jair Bolsonaro (PSL) que foi vítima de uma facada na última quinta-feira (06) na cidade de Juiz de Fora, Minas Gerais [VIDEO]. Segundo o boletim, o estado de saúde Bolsonaro ainda é grave e terá que ser submetido a mais uma intervenção cirúrgica considerada de “grande porte”. Segundo informações da reportagem do jornal “O Estado de São Paulo”, a intenção dos médicos com essa nova cirurgia é a de reconstruir o trânsito de partes do intestino que foram afetadas pela facada, além de ser necessária para que seja retirada a bolsa de colostomia. Lembrando que Bolsonaro ainda permanece na Unidade de Terapia Intensiva (UTI). A boa notícia, também informada no boletim, é que Bolsonaro segue sem ter infecções, esse era o maior risco que os médicos temiam. Apesar disso, Bolsonaro ainda sofre com paralisia intestinal, fato considerado comum em casos de traumas abdominais. O tratamento ao qual está sendo submetido também inclui fisioterapia respiratória e motora. A alimentação ainda segue sendo via sonda gástrica, via endovenosa. Os médicos responsáveis pelo tratamento a Jair Bolsonaro são ​Doutor Antônio Luiz Macedo, cirurgião, Doutor Leandro Echenique, clínico e cardiologista, e o Diretor Superintendente, ​Doutor Miguel Cendoroglo, Diretor Superintendente do Hospital Israelita Albert Einstein. General Mourão criticou grande número de visitas a Bolsonaro O candidato à vice-presidente, General Mourão [VIDEO] fez críticas ao intenso número de visitantes a Jair Bolsonaro na UTI. Segundo o general da reserva, a movimentação de pessoas parecia um “oba oba” em cima do candidato. Após as críticas, o número de visitantes reduziu consideravelmente e nesta segunda-feira, o hospital ficou bem mais vazio, no entanto, a imprensa segue acompanhando em tempo real a situação do candidato no hospital. Debate na TV Gazeta Na noite de domingo, em São Paulo, a TV Gazeta, Jornal Estado de São Paulo, Rádio Jovem Pan e Twitter realizaram um debate com os principais postulantes à presidência da República. Como se tratava do primeiro encontro após o radical incidente de violência ocorrido em Juiz de Fora, todos os candidatos pregaram a pacificação da sociedade. Por esse motivo, os presidenciáveis tiveram que tratar de temas como educação, saúde, saneamento básico e até regulamentação fundiária. A bancada que havia sido reservada a Bolsonaro foi retirada do estúdio após um acordo comum entre os candidatos presentes. Regra esta que foi quebrada, já que antes, as regras do debate determinavam que o púlpito teria que ser colocado no estúdio e permanecer vazio. Hora Da Notícia Influenciador e co-criador Segundo os médicos o estado de saúde do candidato a Presidência da Republica Jair Bolsonaro ainda inspira cuidados. Para os médicos ele ainda terá que passar por outra cirurgia e seu estado ainda é considerado grave Avalie esta contribuição","blastingnews.com","UNKNOWN","1","10","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bolsonaro","ainda","estado","candidato","médicos","estado de","do candidato","jair bolsonaro","bolsonaro ainda","os médicos"
"https://extra.globo.com/noticias/economia/eletrobras-ve-queda-de-liminar-que-impede-venda-da-ceal-apos-eleicoes-23065907.html","https://extra.globo.com/noticias/economia/eletrobras-ve-queda-de-liminar-que-impede-venda-da-ceal-apos-eleicoes-23065907.html","2018-09-13T19:05:04Z","2018-09-13 15:32:00","Eletrobras vê queda de liminar que impede venda da Ceal após eleições","Reuters Tamanho do texto RIO DE JANEIRO (Reuters) - A Eletrobras poderá conseguir, após as eleições, aval da Justiça para a venda da distribuidora Ceal, do Alagoas, cuja negociação está travada por uma decisão liminar do ministro Ricardo Lewandowski, do Supremo Tribunal Federal (STF), afirmou o diretor de Regulação e Projetos Especiais da estatal, Claudio Nilo, nesta quinta-feira. A decisão de Lewandowski ocorreu após uma ação movida pelo governo alagoano. Nilo não entrou em detalhes sobre o motivo que o leva a crer que a questão poderá ser solucionada. ""A Ceal agora está impedida por uma liminar do Lewandowski e a gente está tentando conseguir derrubar essa liminar. Eu destaco que, passando a eleição, isso deve acontecer"", afirmou Nilo, ao participar do Encontro dos Altos Executivos do Setor Elétrico (Enaltesse) no Rio de Janeiro. Sobre a venda da Amazonas Energia, marcada atualmente para 26 de setembro, o executivo disse não saber se de fato irá acontecer na data prevista. Recentemente, o presidente da Eletrobras, Wilson Ferreira, afirmou que o certame poderia ser adiado, caso um projeto de lei visto como importante para aumentar o interesse de investidores na companhia não seja aprovado pelo Senado até lá. Na véspera, uma fonte próxima à organização do certame afirmou à Reuters que o leilão será adiado, uma vez que há um acordo parlamentar para votar o projeto no Senado somente após as eleições. Sobre o leilão da Cepisa, que ocorreu em 26 de junho, Nilo afirmou acreditar que deverá ser transferida para à Equatorial, que venceu o certame, até o fim de outubro, conforme está previsto no edital. ""Quanto mais cedo for possível a transferência é bom para os controladores e para a Eletrobras, mas tem um rito a cumprir, as questões de transição"", disse o executivo, reiterando que a Aneel já deu anuência para a transferência. (Por Marta Nogueira)","globo.com","MSM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","afirmou","nilo","reuters","eletrobras","após","para a","que o","rio de","de janeiro","a eletrobras"
"https://br.blastingnews.com/politica/2018/09/filho-diz-que-bolsonaro-teve-noite-delicada-mas-passa-bem-002712679.html","https://br.blastingnews.com/politica/2018/09/filho-diz-que-bolsonaro-teve-noite-delicada-mas-passa-bem-002712679.html","2018-09-13T19:01:50Z","2018-09-13 15:50:46-03:00","Filho diz que Bolsonaro teve noite delicada, mas passa bem","O filho de Jair Bolsonaro, Carlos Bolsonaro [VIDEO] (PSL) postou nas redes sociais que o o pai ""é forte como um cavalo"". O relato foi postado na manhã desta quinta-feira (13). Ele ainda completou que o apelido de seu pai no Exército era ""cavalão"". Jair Bolsonaro [VIDEO]teve de passar por uma outra cirurgia na noite de ontem (12). A cirurgia começou às 22h30 e se encerrou na madruga de hoje. Ainda de acordo com o que foi postado pelo filho, Bolsonaro teve uma ""noite delicada"", mas que já foi ""100% contornada"". A cirurgia, ocorrida no hospital Albert Einstein, teve por objetivo a correção da aderência na região do abdômen. No post, Carlos Bolsonaro agredece também a todos os envolvidos em cuidar de seu pai, como médicos, enfermeiros e técnicos da área. ""Só tenho a agradecer. Estamos vendo o esforço dessas pessoas desde o início"", comentou. Ainda no início desta quinta-feira (13), o Hospital informou que o procedimento foi ""bem sucedido"". A assessoria também informou que novas informações do boletim médico serão liberadas ao longo do dia. Entre os que acompanhavam a cirurgia, estavam a mulher dele, Michelle, e também seus assessores. Sua saúde estava estável, no entanto o candidato começou a sentir náuseas e dores. Ele não estava sentido dores nem febre, no entanto, uma distensão abdominal fez com que os médicos fizessem outra cirurgia. Ataque a Jair Bolsonaro Na última quinta-feira (6), Jair Bolsonaro sofreu um atentado. Ele levou uma facada na região do abdômen enquanto fazia um ato de campanha em Juiz de Fora, interior de Minas Gerais. Na ocasião, ele foi levado às pressas para o Hospital Santa Casa, através de uma viatura da Polícia Federal. Bolsonaro teve seu estado de saúde agravado, pois a facada atingiu partes delicadas da região abdominal. Jair Messias Bolsonaro foi submetido a diversas cirurgias e já passa bem. Uma pessoa foi presa. Identificado como Adélio Batista, foi descoberto que o mesmo já havia premeditado o crime. Ele foi preso pela Polícia Federal após ser linchado por apoiadores de Bolsonaro. Ele também responderá por crime federal. Em algumas fotos tiradas antes do ataque, é possível ver Adélio o encarando ""como uma serpente"". Mais outras duas pessoas estão sendo investigadas. Nos vídeos que mostram Bolsonaro sendo esfaqueado, essas duas pessoas demonstram passar um objeto para outra até chegar em Adélio. Momentos depois acontece o ataque. Após o atentado, Jair Bolsonaro disse que não fará mais ato de campanha.","blastingnews.com","UNKNOWN","1","12","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bolsonaro","jair","cirurgia","pai","quinta","jair bolsonaro","que o","quinta feira","a cirurgia","carlos bolsonaro"
"https://br.blastingnews.com/politica/2018/09/o-velho-e-forte-como-um-cavalo-diz-carlos-bolsonaro-candidato-passa-bem-002714479.html","https://br.blastingnews.com/politica/2018/09/o-velho-e-forte-como-um-cavalo-diz-carlos-bolsonaro-candidato-passa-bem-002714479.html","2018-09-13T19:05:38Z","2018-09-13 09:56:49-03:00","'O velho é forte como um cavalo', diz Carlos Bolsonaro após cirurgia de Jair Bolsonaro","Um dos filhos do presidenciável Jair Bolsonaro do PSL, Carlos Bolsonaro, comemorou animosamente na manhã desta quinta-feira (13), o sucesso na cirurgia do pai. Por intermédio das mídias sociais, o vereador agradeceu os médicos, enfermeiros, fisioterapeutas e técnicos de enfermagem, ""[...] estou vendo de perto o trabalho dessas pessoas desde o início e só temos a agradecer! [...]"", disse. Carlos Bolsonaro também destacou que a noite foi delicada, mas que foi 100% contornada. Aliviado e em tom irônico, o vereador ressaltou o apelido do pai no exército fazendo alusão à resistência de [VIDEO] Jair Bolsonaro frente ao pós operatório. Médicos, enfermeiros, fisioterapeutas e técnicos de enfermagem; estou vendo de perto o trabalho dessas pessoas desde o início e só temos a agradecer! Noite delicada, mas 100% contornada. O velho é forte como um cavalo, não é a toa que seu apelido de Exército é “cavalão”! — Carlos Bolsonaro (@CarlosBolsonaro) September 13, 2018 Dada a necessidade de correção de aderência na região do abdômen, Bolsonaro teve que ser submetido a uma cirurgia na noite de ontem (12), no Hospital Israelita Albert Einstein. Tudo ocorreu bem e a cirurgia foi bem sucedida, segundo informou o Hospital sobre o procedimento cirúrgico. Por volta das 10h desta quinta-feira (13), um novo boletim médico com os detalhes da operação está previsto para ser divulgado. A afirmação é da assessoria do Hospital Israelita Albert Einstein onde Jair Bolsonaro encontra-se sobre cuidados. Segundo informações da Agência Brasil, Michelle Bolsonaro (mulher de Jair Bolsonaro) e assessores estiveram presentes no Hospital e acompanharam a cirurgia do presidenciável. Relembrando o agravamento no quadro de saúde de Bolsonaro Ontem (12), a situação de Bolsonaro se agravou. O presidenciável reclamou de dores e náuseas devido à inserção de alimentos sólidos, no entanto a mesma foi suspensa depois e os médicos retornaram com a alimentação via venosa. Anteriormente, Bolsonaro passou os últimos dias sem febre nem sinais de infecção, tendo sido submetido a medidas para prevenir uma trombose venosa. Na noite de quarta-feira (12), às 22h30, Bolsonaro foi submetido a uma cirurgia e uma tomografia no abdômen, pois teve distensão abdominal e náuseas. Internado no Hospital Isralita Albert Einstein desde o dia 7 de setembro para onde foi transferido da Santa Casa do município de Juiz no estado de Minas Gerais desde o atentado ocorrido no dia 6 [VIDEO], Jair Bolsonaro passa bem e apresenta um quadro de Saúde estável. Orações e atentado político Gustavo Bebianno presidente do partido PSL (Partido Social Liberal) também confirmou em coletiva, os momentos mais difíceis que Jair Bolsonaro passou na terça-feira (11), e pediu orações e insistiu no fato de que o ataque ao presidenciável tenha sido político [VIDEO]. Bolsonaro aparece liderando com 26% das intenções, segundo a pesquisa presidencial do Ibope divulgada nesta terça-feira (11).","blastingnews.com","UNKNOWN","2","16","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bolsonaro","jair","feira","cirurgia","hospital","jair bolsonaro","desde o","carlos bolsonaro","submetido a","no hospital"
"https://br.blastingnews.com/politica/2018/09/filho-diz-que-bolsonaro-teve-noite-delicada-mas-passa-bem-002712679.amp.html","https://br.blastingnews.com/politica/2018/09/filho-diz-que-bolsonaro-teve-noite-delicada-mas-passa-bem-002712679.amp.html","2018-09-13T19:06:33Z","","Filho diz que Bolsonaro teve noite delicada, mas passa bem","O filho de Jair Bolsonaro, Carlos Bolsonaro (PSL) postou nas redes sociais que o o pai ""é forte como um cavalo"". O relato foi postado na manhã desta quinta-feira (13). Ele ainda completou que o apelido de seu pai no Exército era ""cavalão"". Jair Bolsonaro teve de passar por uma outra cirurgia na noite de ontem (12). A cirurgia começou às 22h30 e se encerrou na madruga de hoje. Ainda de acordo com o que foi postado pelo filho, Bolsonaro teve uma ""noite delicada"", mas que já foi ""100% contornada"". A cirurgia, ocorrida no hospital Albert Einstein, teve por objetivo a correção da aderência na região do abdômen. No post, Carlos Bolsonaro agredece também a todos os envolvidos em cuidar de seu pai, como médicos, enfermeiros e técnicos da área. ""Só tenho a agradecer. Estamos vendo o esforço dessas pessoas desde o início"", comentou. Ainda no início desta quinta-feira (13), o Hospital informou que o procedimento foi ""bem sucedido"". A assessoria também informou que novas informações do boletim médico serão liberadas ao longo do dia. Entre os que acompanhavam a cirurgia, estavam a mulher dele, Michelle, e também seus assessores. Sua saúde estava estável, no entanto o candidato começou a sentir náuseas e dores. Ele não estava sentido dores nem febre, no entanto, uma distensão abdominal fez com que os médicos fizessem outra cirurgia. Ataque a Jair Bolsonaro Na última quinta-feira (6), Jair Bolsonaro sofreu um atentado. Ele levou uma facada na região do abdômen enquanto fazia um ato de campanha em Juiz de Fora, interior de Minas Gerais. Na ocasião, ele foi levado às pressas para o Hospital Santa Casa, através de uma viatura da Polícia Federal. Bolsonaro teve seu estado de saúde agravado, pois a facada atingiu partes delicadas da região abdominal. Jair Messias Bolsonaro foi submetido a diversas cirurgias e já passa bem. Uma pessoa foi presa. Identificado como Adélio Batista, foi descoberto que o mesmo já havia premeditado o crime. Ele foi preso pela Polícia Federal após ser linchado por apoiadores de Bolsonaro. Ele também responderá por crime federal. Em algumas fotos tiradas antes do ataque, é possível ver Adélio o encarando ""como uma serpente"". Mais outras duas pessoas estão sendo investigadas. Nos vídeos que mostram Bolsonaro sendo esfaqueado, essas duas pessoas demonstram passar um objeto para outra até chegar em Adélio. Momentos depois acontece o ataque. Após o atentado, Jair Bolsonaro disse que não fará mais ato de campanha.","blastingnews.com","UNKNOWN","1","12","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bolsonaro","jair","cirurgia","pai","quinta","jair bolsonaro","que o","quinta feira","bolsonaro teve","a cirurgia"
"https://www.otempo.com.br/capa/pol%C3%ADtica/fachin-autoriza-inqu%C3%A9rito-contra-ciro-nogueira-edinho-silva-joesley-e-saud-1.2030834","https://www.otempo.com.br/capa/pol%C3%ADtica/fachin-autoriza-inqu%C3%A9rito-contra-ciro-nogueira-edinho-silva-joesley-e-saud-1.2030834","2018-09-13T19:08:04Z","2018-09-13 16:00:01+00:00","Fachin autoriza inquérito contra Ciro Nogueira, Edinho Silva, Joesley e Saud","Estadão Conteúdo O ministro Edson Fachin, do Supremo Tribunal Federal (STF), autorizou a instauração de inquérito contra o senador Ciro Nogueira (PP-PI), o ex-ministro Edinho Silva (PT), além dos executivos Joesley Batista e Ricardo Saud, por supostos crimes de corrupção e lavagem de dinheiro. O pedido foi feito pela Procuradoria-Geral da República (PGR) em dezembro do ano passado. A decisão de Fachin é da terça-feira, dia 11. As acusações giram em torno do suposto recebimento de vantagens indevidas pelo PP para apoiar a reeleição de Dilma Rousseff (PT) em 2014 e não agir contra a ex-presidente no processo de impeachment instaurado no Congresso Nacional. O pedido de instauração de inquérito é baseado na colaboração premiada de executivos do Grupo J&F. Além de determinar a abertura da investigação, Fachin pede que inquérito seja distribuído livremente entre os integrantes da Corte, em função dos fatos não se relacionarem com as investigações relativas ao esquema na Petrobras - no que o ministro é relator por prevenção. De acordo com a PGR, as narrativas revelam o suposto pagamento de vantagens ilícitas a Ciro Nogueira em duas situações. Em uma delas, Edinho Silva, hoje prefeito de Araraquara (SP), é citado como encarregado pelo PT de tratar com a J&F dos pagamentos de propina durante a campanha eleitoral de 2014, para apoio da reeleição de Dilma. No caso do PP, o valor ""pelo apoio"" teria sido repassado a Ciro, estipulado inicialmente em R$20 milhões. ""Contudo, ao final, a empresa acabou pagando R$ 42 milhões"", cita a PGR. Ricardo Saud, na delação, afirma que os representantes do partido sabiam que se tratava de propina do caixa do PT. Na segunda situação relatada pelos delatores, Joesley afirmou que se encontrou com Ciro e pediu a ele que adiasse uma reunião partidária que provavelmente decidiria pelo desembarque do PP do Governo em 2016 - o que acabou acontecendo em abril, mas com atraso. Para atender o pedido, o presidente do PP teria combinado receber de Joesley o valor de R$ 8 milhões, pago em março de 2017. ""As condutas noticiadas acima, dentro do contexto de pagamento de vantagens indevidas a membro do Congresso Nacional em razão de suas funções, em especial para não agir em relação ao processo de impeachment de Dilma Rousseff, apontam, pelo menos, para o crime de corrupção passiva qualificada, assim normativamente descrito"", cita trecho do pedido feito pela PGR, que aponta também a possibilidade de cometimento de crime de lavagem de dinheiro. Outro lado A defesa de Joesley Batista, por meio do advogado André Callegari, afirmou que segue firme esperando que a PGR coloque Joesley no polo de colaborador e a própria Polícia Federal assim conclua quando finalizar o inquérito. Em nota divulgada pela assessoria de Edinho, o atual prefeito de Araraquara e ex-coordenador financeiro da Campanha Dilma 2014 afirma que agiu ""dentro da legalidade e de forma ética"". ""O PP já fazia parte do governo Dilma, estando à frente, inclusive, de Ministério, portanto, tinham interesse lógico na reeleição da presidenta Dilma. Essa tese construída, sem nenhuma prova e fundamento para que as delações fossem aceitas, não se sustentam Por esse motivo que vários inquéritos semelhantes já foram arquivados pelo Poder Judiciário"", afirma a nota. A reportagem entrou em contado com a defesa de Ricardo Saud, sem retorno até a publicação desse texto. Também entrou em contato com a assessoria do senador Ciro Nogueira, também sem retorno até o momento. O espaço está aberto para manifestação de todos.","otempo.com.br","MSM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","pp","dilma","ciro","joesley","pgr","com a","ciro nogueira","ricardo saud","o pedido","de vantagens"
