Candidate,Poll,Date,Source
Bolsonaro,20,2018-08-20,IBOPE
Bolsonaro,22,2018-09-04,IBOPE
Bolsonaro,26,2018-09-11,IBOPE
Bolsonaro,28,2018-09-18,IBOPE
Bolsonaro,28,2018-09-24,IBOPE
Bolsonaro,27,2018-09-26,IBOPE
Bolsonaro,31,2018-10-01,IBOPE
Bolsonaro,32,2018-10-03,IBOPE
Bolsonaro,36,2018-10-06,IBOPE
Marina,12,2018-08-20,IBOPE
Marina,12,2018-09-04,IBOPE
Marina,9,2018-09-11,IBOPE
Marina,6,2018-09-18,IBOPE
Marina,5,2018-09-24,IBOPE
Marina,6,2018-09-26,IBOPE
Marina,4,2018-10-01,IBOPE
Marina,4,2018-10-03,IBOPE
Marina,3,2018-10-06,IBOPE
Gomes,9,2018-08-20,IBOPE
Gomes,12,2018-09-04,IBOPE
Gomes,11,2018-09-11,IBOPE
Gomes,11,2018-09-18,IBOPE
Gomes,11,2018-09-24,IBOPE
Gomes,12,2018-09-26,IBOPE
Gomes,11,2018-10-01,IBOPE
Gomes,10,2018-10-03,IBOPE
Gomes,11,2018-10-06,IBOPE
Haddad,4,2018-08-20,IBOPE
Haddad,6,2018-09-04,IBOPE
Haddad,8,2018-09-11,IBOPE
Haddad,19,2018-09-18,IBOPE
Haddad,22,2018-09-24,IBOPE
Haddad,21,2018-09-26,IBOPE
Haddad,21,2018-10-01,IBOPE
Haddad,23,2018-10-03,IBOPE
Haddad,22,2018-10-06,IBOPE
Alckmin,7,2018-08-20,IBOPE
Alckmin,9,2018-09-04,IBOPE
Alckmin,9,2018-09-11,IBOPE
Alckmin,7,2018-09-18,IBOPE
Alckmin,8,2018-09-24,IBOPE
Alckmin,8,2018-09-26,IBOPE
Alckmin,8,2018-10-01,IBOPE
Alckmin,7,2018-10-03,IBOPE
Alckmin,7,2018-10-06,IBOPE
Meirelles,1,2018-08-20,IBOPE
Meirelles,2,2018-09-04,IBOPE
Meirelles,3,2018-09-11,IBOPE
Meirelles,2,2018-09-18,IBOPE
Meirelles,2,2018-09-24,IBOPE
Meirelles,2,2018-09-26,IBOPE
Meirelles,2,2018-10-01,IBOPE
Meirelles,2,2018-10-03,IBOPE
Meirelles,2,2018-10-06,IBOPE
Daciolo,1,2018-08-20,IBOPE
Daciolo,0,2018-09-04,IBOPE
Daciolo,1,2018-09-11,IBOPE
Daciolo,1,2018-09-18,IBOPE
Daciolo,0,2018-09-24,IBOPE
Daciolo,0,2018-09-26,IBOPE
Daciolo,1,2018-10-01,IBOPE
Daciolo,1,2018-10-03,IBOPE
Daciolo,2,2018-10-06,IBOPE
Amoêdo,1,2018-08-20,IBOPE
Amoêdo,3,2018-09-04,IBOPE
Amoêdo,3,2018-09-11,IBOPE
Amoêdo,2,2018-09-18,IBOPE
Amoêdo,3,2018-09-24,IBOPE
Amoêdo,3,2018-09-26,IBOPE
Amoêdo,3,2018-10-01,IBOPE
Amoêdo,2,2018-10-03,IBOPE
Amoêdo,2,2018-10-06,IBOPE
Bolsonaro,58,2018-10-10,Datafolha
Bolsonaro,59,2018-10-14,IBOPE
Bolsonaro,59,2018-10-18,Datafolha
Bolsonaro,57,2018-10-23,IBOPE
Bolsonaro,56,2018-10-25,Datafolha
Bolsonaro,55,2018-10-27,Datafolha
Bolsonaro,54,2018-10-28,IBOPE
Haddad,42,2018-10-10,Datafolha
Haddad,41,2018-10-14,IBOPE
Haddad,41,2018-10-18,Datafolha
Haddad,43,2018-10-23,IBOPE
Haddad,44,2018-10-25,Datafolha
Haddad,45,2018-10-27,Datafolha
Haddad,46,2018-10-28,IBOPE
