Candidate,Poll,Date
Bolsonaro,20,2018-08-20
Bolsonaro,22,2018-09-04
Bolsonaro,26,2018-09-11
Bolsonaro,28,2018-09-18
Bolsonaro,28,2018-09-24
Bolsonaro,27,2018-09-26
Bolsonaro,31,2018-10-01
Bolsonaro,32,2018-10-03
Bolsonaro,36,2018-10-06
Marina,12,2018-08-20
Marina,12,2018-09-04
Marina,9,2018-09-11
Marina,6,2018-09-18
Marina,5,2018-09-24
Marina,6,2018-09-26
Marina,4,2018-10-01
Marina,4,2018-10-03
Marina,3,2018-10-06
Gomes,9,2018-08-20
Gomes,12,2018-09-04
Gomes,11,2018-09-11
Gomes,11,2018-09-18
Gomes,11,2018-09-24
Gomes,12,2018-09-26
Gomes,11,2018-10-01
Gomes,10,2018-10-03
Gomes,11,2018-10-06
Alckmin,7,2018-08-20
Alckmin,9,2018-09-04
Alckmin,9,2018-09-11
Alckmin,7,2018-09-18
Alckmin,8,2018-09-24
Alckmin,8,2018-09-26
Alckmin,8,2018-10-01
Alckmin,7,2018-10-03
Alckmin,7,2018-10-06
Haddad,4,2018-08-20
Haddad,6,2018-09-04
Haddad,8,2018-09-11
Haddad,19,2018-09-18
Haddad,22,2018-09-24
Haddad,21,2018-09-26
Haddad,21,2018-10-01
Haddad,23,2018-10-03
Haddad,22,2018-10-06
Meirelles,1,2018-08-20
Meirelles,2,2018-09-04
Meirelles,3,2018-09-11
Meirelles,2,2018-09-18
Meirelles,2,2018-09-24
Meirelles,2,2018-09-26
Meirelles,2,2018-10-01
Meirelles,2,2018-10-03
Meirelles,2,2018-10-06
Boulos,1,2018-08-20
Boulos,1,2018-09-04
Boulos,0,2018-09-11
Boulos,0,2018-09-18
Boulos,1,2018-09-24
Boulos,1,2018-09-26
Boulos,0,2018-10-01
Boulos,0,2018-10-03
Boulos,1,2018-10-06
Daciolo,1,2018-08-20
Daciolo,0,2018-09-04
Daciolo,1,2018-09-11
Daciolo,1,2018-09-18
Daciolo,0,2018-09-24
Daciolo,0,2018-09-26
Daciolo,1,2018-10-01
Daciolo,1,2018-10-03
Daciolo,2,2018-10-06
Amoêdo,1,2018-08-20
Amoêdo,3,2018-09-04
Amoêdo,3,2018-09-11
Amoêdo,2,2018-09-18
Amoêdo,3,2018-09-24
Amoêdo,3,2018-09-26
Amoêdo,3,2018-10-01
Amoêdo,2,2018-10-03
Amoêdo,2,2018-10-06
Branco/Nulo,29,2018-08-20
Branco/Nulo,21,2018-09-04
Branco/Nulo,19,2018-09-11
Branco/Nulo,14,2018-09-18
Branco/Nulo,12,2018-09-24
Branco/Nulo,11,2018-09-26
Branco/Nulo,12,2018-10-01
Branco/Nulo,11,2018-10-03
Branco/Nulo,7,2018-10-06
Não sabe*,9,2018-08-20
Não sabe*,7,2018-09-04
Não sabe*,7,2018-09-11
Não sabe*,7,2018-09-18
Não sabe*,6,2018-09-24
Não sabe*,7,2018-09-26
Não sabe*,5,2018-10-01
Não sabe*,6,2018-10-03
Não sabe*,5,2018-10-06
